I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-478, 122, 600, 178, -539, 361, 370, 87, 375, 287, 107, 34, 
-502, 117, 619, 192, -561, 368, 395, 102, 395, 302, 107, 43, 
-502, 126, 629, 187, -566, 378, 395, 122, 414, 312, 122, 34, 
-507, 126, 634, 190, -570, 380, 395, 131, 429, 326, 131, 34, 
-512, 136, 649, 187, -580, 392, 414, 136, 444, 336, 136, 34, 
-517, 161, 678, 178, -597, 419, 414, 151, 448, 346, 146, 34, 
-541, 175, 717, 183, -629, 446, 424, 151, 463, 346, 175, 24, 
-541, 175, 717, 183, -629, 446, 439, 161, 488, 351, 185, 34, 
-551, 170, 722, 190, -636, 446, 444, 180, 497, 366, 190, 34, 
-561, 170, 732, 195, -646, 451, 453, 195, 517, 361, 200, 34, 
-570, 180, 751, 195, -661, 466, 463, 200, 536, 366, 214, 34, 
-575, 190, 766, 192, -671, 478, 478, 224, 556, 380, 219, 43, 
-575, 204, 780, 185, -678, 492, 492, 258, 580, 400, 244, 48, 
-580, 219, 800, 180, -690, 509, 497, 278, 590, 409, 244, 48, 
-585, 214, 800, 185, -692, 507, 492, 278, 605, 409, 248, 43, 
-590, 224, 814, 183, -702, 519, 492, 292, 619, 419, 253, 53, 
-600, 214, 814, 192, -707, 514, 492, 317, 634, 439, 268, 53, 
-605, 214, 819, 195, -712, 517, 492, 326, 639, 448, 273, 58, 
-595, 224, 819, 185, -707, 522, 492, 331, 649, 448, 273, 48, 
-580, 244, 824, 168, -702, 534, 488, 346, 653, 458, 273, 58, 
-580, 258, 839, 161, -710, 549, 478, 370, 658, 458, 268, 58, 
-566, 263, 829, 151, -697, 546, 473, 380, 658, 458, 263, 63, 
-575, 253, 829, 161, -702, 541, 483, 400, 678, 473, 283, 87, 
-570, 263, 834, 153, -702, 549, 478, 409, 688, 488, 297, 97, 
-570, 273, 844, 148, -707, 558, 463, 419, 692, 492, 307, 107, 
-561, 273, 834, 143, -697, 553, 463, 429, 692, 497, 312, 107, 
-541, 268, 810, 136, -675, 539, 444, 434, 688, 488, 312, 107, 
-517, 268, 785, 124, -651, 527, 429, 424, 678, 488, 307, 112, 
-473, 253, 727, 109, -600, 490, 409, 424, 658, 488, 307, 117, 
-463, 253, 717, 104, -590, 485, 380, 414, 639, 483, 302, 122, 
-458, 263, 722, 97, -590, 492, 366, 409, 624, 473, 317, 136, 
-419, 268, 688, 75, -553, 478, 346, 405, 614, 458, 312, 141, 
-405, 263, 668, 70, -536, 466, 336, 385, 595, 444, 307, 141, 
-380, 248, 629, 65, -505, 439, 326, 370, 575, 434, 307, 141, 
-356, 253, 610, 51, -483, 431, 302, 356, 566, 439, 312, 156, 
-326, 253, 580, 36, -453, 417, 278, 341, 541, 424, 312, 161, 
-297, 248, 546, 24, -422, 397, 278, 322, 507, 395, 302, 156, 
-283, 244, 527, 19, -405, 385, 268, 307, 488, 370, 283, 156, 
-273, 244, 517, 14, -395, 380, 234, 292, 458, 356, 268, 165, 
-253, 224, 478, 14, -366, 351, 209, 263, 434, 351, 258, 165, 
-229, 204, 434, 12, -331, 319, 185, 239, 409, 336, 244, 146, 
-214, 204, 419, 4, -317, 312, 170, 214, 380, 322, 229, 141, 
-185, 180, 366, 2, -275, 273, 175, 209, 366, 312, 234, 151, 
-175, 146, 322, 14, -248, 234, 165, 190, 336, 297, 219, 151, 
-165, 141, 307, 12, -236, 224, 151, 165, 312, 273, 204, 146, 
-146, 131, 278, 7, -212, 204, 146, 151, 287, 258, 190, 131, 
-136, 126, 263, 4, -200, 195, 136, 117, 248, 229, 180, 126, 
-122, 97, 219, 12, -170, 158, 122, 92, 214, 185, 165, 117, 
-112, 97, 209, 7, -161, 153, 107, 68, 195, 165, 151, 112, 
-107, 87, 195, 9, -151, 141, 97, 43, 180, 156, 141, 107, 
-102, 78, 180, 12, -141, 129, 87, 39, 165, 146, 141, 97, 
-82, 68, 151, 7, -117, 109, 87, 29, 151, 136, 131, 87, 
-78, 63, 141, 7, -109, 102, 82, 19, 136, 131, 112, 92, 
-73, 63, 136, 4, -104, 100, 82, 9, 117, 122, 102, 87, 
-73, 53, 126, 9, -100, 90, 63, 0, 92, 112, 87, 73, 
-78, 39, 117, 19, -97, 78, 58, -24, 82, 97, 78, 68, 
-78, 29, 107, 24, -92, 68, 58, -39, 78, 87, 78, 68, 
-73, 19, 92, 26, -82, 56, 58, -53, 73, 73, 78, 68, 
-82, 19, 102, 31, -92, 61, 53, -68, 58, 48, 58, 48, 
-82, 19, 102, 31, -92, 61, 48, -73, 48, 34, 48, 39, 
-87, 29, 117, 29, -102, 73, 43, -78, 43, 24, 34, 34, 
-87, 39, 126, 24, -107, 82, 29, -78, 34, 24, 24, 29, 
-87, 19, 107, 34, -97, 63, 43, -82, 29, 19, 29, 39, 
-78, 9, 87, 34, -82, 48, 53, -82, 29, 19, 24, 39, 
-78, 0, 78, 39, -78, 39, 63, -82, 24, 19, 24, 39, 
-82, -9, 73, 46, -78, 31, 68, -82, 24, 19, 24, 34, 
-73, -9, 63, 41, -68, 26, 63, -82, 24, 24, 34, 34, 
-68, -4, 63, 36, -65, 29, 63, -82, 24, 24, 39, 39, 
-63, -4, 58, 34, -61, 26, 68, -82, 24, 24, 39, 43, 
-48, 4, 53, 21, -51, 29, 73, -82, 29, 19, 39, 48, 
-48, -24, 24, 36, -36, 0, 63, -82, 19, 14, 29, 43, 
-58, -29, 29, 43, -43, 0, 63, -78, 24, 24, 19, 39, 
-68, -29, 39, 48, -53, 4, 63, -78, 24, 19, 14, 34, 
-58, -34, 24, 46, -41, -4, 63, -78, 24, 9, 4, 29, 
-68, -24, 43, 46, -56, 9, 68, -68, 24, 9, 14, 39, 
-78, -24, 53, 51, -65, 14, 68, -68, 24, 9, 14, 39, 
-87, -24, 63, 56, -75, 19, 68, -68, 24, 4, 9, 48, 
-92, -24, 68, 58, -80, 21, 68, -68, 24, 4, 9, 48, 
-87, -9, 78, 48, -82, 34, 58, -63, 19, 9, 14, 34, 
-82, -9, 73, 46, -78, 31, 53, -63, 19, 9, 14, 34, 
-82, -4, 78, 43, -80, 36, 53, -63, 19, 4, 14, 34, 
-78, -4, 73, 41, -75, 34, 53, -63, 19, 0, 4, 29, 
-82, -9, 73, 46, -78, 31, 78, -39, 29, 9, 9, 43, 
-87, -9, 78, 48, -82, 34, 82, -34, 34, 14, 29, 48, 
-87, -9, 78, 48, -82, 34, 92, -24, 48, 24, 39, 53, 
-87, -9, 78, 48, -82, 34, 102, -19, 58, 34, 48, 58, 
-87, -14, 73, 51, -80, 29, 92, -34, 43, 19, 29, 53, 
-92, 0, 92, 46, -92, 46, 82, -39, 39, 14, 19, 48, 
-97, -4, 92, 51, -95, 43, 73, -43, 43, 14, 9, 43, 
-97, -19, 78, 58, -87, 29, 58, -48, 43, 19, 4, 34, 
-87, -19, 68, 53, -78, 24, 68, -34, 53, 19, 4, 43, 
-92, 0, 92, 46, -92, 46, 73, -29, 43, 9, 4, 43, 
-97, 0, 97, 48, -97, 48, 82, -19, 58, 19, 9, 53, 
-97, 0, 97, 48, -97, 48, 97, -9, 73, 34, 19, 58, 
-107, -4, 102, 56, -104, 48, 97, -9, 82, 34, 14, 58, 
-107, 14, 122, 46, -114, 68, 97, -9, 78, 34, 14, 58, 
-102, 19, 122, 41, -112, 70, 97, -9, 78, 39, 14, 63, 
-102, 14, 117, 43, -109, 65, 102, -4, 87, 39, 9, 68, 
-87, 14, 102, 36, -95, 58, 92, -9, 73, 39, -4, 63, 
-82, 14, 97, 34, -90, 56, 92, -4, 68, 39, -9, 58, 
-82, 19, 102, 31, -92, 61, 82, -4, 63, 34, -14, 58, 
-78, 29, 107, 24, -92, 68, 82, -4, 58, 24, -24, 58, 
-92, 29, 122, 31, -107, 75, 82, 9, 68, 39, -9, 53, 
-107, 19, 126, 43, -117, 73, 87, 9, 68, 39, -9, 58, 
-122, 4, 126, 58, -124, 65, 87, 9, 68, 39, -4, 58, 
-136, -14, 122, 75, -129, 53, 82, 19, 68, 39, 0, 68, 
-107, -14, 92, 61, -100, 39, 102, 14, 73, 53, 4, 68, 
-78, -19, 58, 48, -68, 19, 87, 0, 68, 39, 0, 58, 
-97, -19, 78, 58, -87, 29, 87, -9, 58, 29, -9, 48, 
-107, -19, 87, 63, -97, 34, 87, -9, 58, 29, -9, 48, 
-117, -19, 97, 68, -107, 39, 87, -9, 58, 29, -9, 48, 
-126, -19, 107, 73, -117, 43, 87, -9, 58, 29, -9, 48, 
-122, -4, 117, 63, -119, 56, 82, 0, 78, 39, -9, 63, 
-122, 4, 126, 58, -124, 65, 82, 4, 78, 43, -9, 68, 
-122, 9, 131, 56, -126, 70, 82, 9, 78, 43, -9, 73, 
-117, 24, 141, 46, -129, 82, 82, 14, 78, 48, 0, 73, 
-92, 43, 136, 24, -114, 90, 92, 14, 97, 58, 14, 87, 
-87, 68, 156, 9, -122, 112, 97, 14, 97, 68, 24, 97, 
-82, 87, 170, -2, -126, 129, 102, 14, 107, 82, 39, 102, 
-78, 97, 175, -9, -126, 136, 107, 14, 122, 92, 53, 112, 
-82, 78, 161, 2, -122, 119, 112, 4, 117, 92, 58, 102, 
-97, 82, 180, 7, -139, 131, 112, 4, 122, 97, 58, 107, 
-107, 82, 190, 12, -148, 136, 117, 4, 126, 92, 63, 117, 
-122, 68, 190, 26, -156, 129, 117, 4, 122, 87, 68, 117, 
-112, 82, 195, 14, -153, 139, 102, 0, 112, 92, 53, 112, 
-112, 78, 190, 17, -151, 134, 97, 0, 112, 92, 53, 112, 
-112, 82, 195, 14, -153, 139, 92, -4, 112, 92, 48, 112, 
-112, 97, 209, 7, -161, 153, 78, -9, 107, 92, 43, 107, 
-92, 112, 204, -9, -148, 158, 68, -9, 112, 82, 43, 117, 
-78, 112, 190, -17, -134, 151, 63, -4, 112, 73, 43, 117, 
-63, 112, 175, -24, -119, 143, 58, -4, 102, 73, 43, 117, 
-48, 117, 165, -34, -107, 141, 43, -4, 97, 63, 43, 117, 
-48, 102, 151, -26, -100, 126, 48, -4, 97, 73, 43, 122, 
-43, 92, 136, -24, -90, 114, 39, 0, 97, 73, 39, 122, 
-29, 78, 107, -24, -68, 92, 39, 9, 97, 68, 34, 117, 
-24, 53, 78, -14, -51, 65, 34, 14, 82, 63, 24, 117, 
-14, 58, 73, -21, -43, 65, 24, 14, 73, 58, 19, 126, 
-14, 48, 63, -17, -39, 56, 24, 9, 73, 53, 14, 117, 
